===========================<< 0.33 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
1400	| 3108	 6989	 3443	 16	 | 47.44% @ 0.2284%
1500	| 3268	 7489	 3668	 16	 | 47.12% @ 0.2132%
1600	| 3425	 7989	 3856	 16	 | 47.04% @ 0.1999%
Last	| 3508	 8384	 3976	 16	 | 46.87% @ 0.1905%
===========================<< 0.38 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 1	 5	 1	 0	 | 50.0% @ 0.0%
100	| 186	 505	 258	 0	 | 41.89% @ 0.0%
200	| 360	 1005	 437	 0	 | 45.17% @ 0.0%
300	| 485	 1504	 624	 1	 | 43.73% @ 0.06645%
400	| 648	 2004	 859	 1	 | 43.0% @ 0.04988%
500	| 764	 2504	 1073	 1	 | 41.59% @ 0.03992%
600	| 964	 3004	 1304	 1	 | 42.5% @ 0.03328%
700	| 1291	 3502	 1698	 3	 | 43.19% @ 0.08559%
800	| 1419	 4002	 1905	 3	 | 42.69% @ 0.07491%
900	| 1659	 4502	 2195	 3	 | 43.05% @ 0.06659%
1000	| 1840	 5002	 2418	 3	 | 43.21% @ 0.05994%
1100	| 2075	 5502	 2714	 3	 | 43.33% @ 0.0545%
1200	| 2297	 6000	 2945	 5	 | 43.82% @ 0.08326%
1300	| 2489	 6500	 3134	 5	 | 44.26% @ 0.07686%
1400	| 2974	 6999	 3577	 6	 | 45.4% @ 0.08565%
1500	| 3104	 7498	 3832	 7	 | 44.75% @ 0.09327%
1600	| 3251	 7996	 4030	 9	 | 44.65% @ 0.1124%
Last	| 3354	 8391	 4130	 9	 | 44.82% @ 0.1071%
===========================<< 0.39 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 1	 5	 1	 0	 | 50.0% @ 0.0%
100	| 192	 504	 252	 1	 | 43.24% @ 0.198%
200	| 360	 1004	 437	 1	 | 45.17% @ 0.0995%
300	| 465	 1504	 644	 1	 | 41.93% @ 0.06645%
400	| 624	 2003	 883	 2	 | 41.41% @ 0.09975%
500	| 738	 2502	 1099	 3	 | 40.17% @ 0.1198%
600	| 939	 3001	 1329	 4	 | 41.4% @ 0.1331%
700	| 1249	 3500	 1740	 5	 | 41.79% @ 0.1427%
800	| 1384	 3999	 1940	 6	 | 41.64% @ 0.1498%
900	| 1605	 4498	 2249	 7	 | 41.65% @ 0.1554%
1000	| 1774	 4998	 2484	 7	 | 41.66% @ 0.1399%
1100	| 1997	 5498	 2792	 7	 | 41.7% @ 0.1272%
1200	| 2214	 5998	 3028	 7	 | 42.24% @ 0.1166%
1300	| 2405	 6498	 3218	 7	 | 42.77% @ 0.1076%
1400	| 2863	 6998	 3688	 7	 | 43.7% @ 0.09993%
1500	| 2986	 7497	 3950	 8	 | 43.05% @ 0.1066%
1600	| 3113	 7996	 4168	 9	 | 42.76% @ 0.1124%
Last	| 3199	 8390	 4285	 10	 | 42.74% @ 0.119%
===========================<< 0.4 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 1	 5	 1	 0	 | 50.0% @ 0.0%
100	| 164	 505	 280	 0	 | 36.94% @ 0.0%
200	| 316	 1004	 481	 1	 | 39.65% @ 0.0995%
300	| 428	 1504	 681	 1	 | 38.59% @ 0.06645%
400	| 576	 2004	 931	 1	 | 38.22% @ 0.04988%
500	| 680	 2504	 1157	 1	 | 37.02% @ 0.03992%
600	| 868	 3003	 1400	 2	 | 38.27% @ 0.06656%
700	| 1140	 3503	 1849	 2	 | 38.14% @ 0.05706%
800	| 1256	 4003	 2068	 2	 | 37.79% @ 0.04994%
900	| 1491	 4502	 2363	 3	 | 38.69% @ 0.06659%
1000	| 1648	 5002	 2610	 3	 | 38.7% @ 0.05994%
1100	| 1878	 5502	 2911	 3	 | 39.21% @ 0.0545%
1200	| 2083	 6001	 3159	 4	 | 39.74% @ 0.06661%
1300	| 2256	 6501	 3367	 4	 | 40.12% @ 0.06149%
1400	| 2686	 7001	 3865	 4	 | 41.0% @ 0.0571%
1500	| 2813	 7500	 4123	 5	 | 40.56% @ 0.06662%
1600	| 2947	 7997	 4334	 8	 | 40.48% @ 0.09994%
Last	| 3034	 8392	 4450	 8	 | 40.54% @ 0.09524%
===========================<< 0.41 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 1	 5	 1	 0	 | 50.0% @ 0.0%
100	| 160	 505	 284	 0	 | 36.04% @ 0.0%
200	| 309	 1004	 488	 1	 | 38.77% @ 0.0995%
300	| 402	 1504	 707	 1	 | 36.25% @ 0.06645%
400	| 561	 2004	 946	 1	 | 37.23% @ 0.04988%
500	| 655	 2504	 1182	 1	 | 35.66% @ 0.03992%
600	| 833	 3003	 1435	 2	 | 36.73% @ 0.06656%
700	| 1098	 3502	 1891	 3	 | 36.73% @ 0.08559%
800	| 1218	 4001	 2106	 4	 | 36.64% @ 0.09988%
900	| 1431	 4501	 2423	 4	 | 37.13% @ 0.08879%
1000	| 1572	 5001	 2686	 4	 | 36.92% @ 0.07992%
1100	| 1796	 5500	 2993	 5	 | 37.5% @ 0.09083%
1200	| 1993	 6000	 3249	 5	 | 38.02% @ 0.08326%
1300	| 2159	 6500	 3464	 5	 | 38.4% @ 0.07686%
1400	| 2646	 6999	 3905	 6	 | 40.39% @ 0.08565%
1500	| 2764	 7499	 4172	 6	 | 39.85% @ 0.07995%
1600	| 2883	 7999	 4398	 6	 | 39.6% @ 0.07495%
Last	| 2963	 8394	 4521	 6	 | 39.59% @ 0.07143%
